	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
5ef6c1d4572f4c6e1c11fd5bad6b1750	0.0	118.0	0.0	0.0	192.0	0.0	0.0	41.0	174.0	0.0	0.0	0.0	54.0	0.0	0.0	119.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0
4dfdc018e043cd6c75afd172264b748a	0.0	0.0	0.0	0.0	0.0	110.0	153.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	152.0	74.0	0.0	0.0
e3a76b8c3eb415d56a8a121e417d35cc	0.0	0.0	0.0	0.0	0.0	122.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	161.0	0.0
9ec4f140095fb24d46b2a04b288a1055	0.0	0.0	0.0	0.0	0.0	55.0	0.0	70.0	33.0	0.0	0.0	0.0	0.0	55.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	97.0	0.0	52.0	55.0	0.0	79.0	0.0
760f77a7372918aaef341a40c406db59	0.0	0.0	0.0	0.0	0.0	145.0	0.0	55.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	203.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
529d84ce8869f43f5c25cad7ab72ff51	0.0	0.0	0.0	59.0	106.0	0.0	0.0	187.0	0.0	0.0	0.0	69.0	0.0	106.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	44.0	0.0	66.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0
fd3ca0b19f6b6c7191f8b0936bad4f28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	246.0	94.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0	0.0	0.0	49.0	0.0
4fa3c7788b229431e603c3eb011d2488	0.0	0.0	0.0	0.0	72.0	0.0	0.0	68.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	25.0	76.0	246.0	77.0	0.0
334e76acda8b551b1c1b708b458e6927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	98.0	0.0	0.0	198.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	162.0	0.0	82.0	0.0
144ef4a4f81b60fec5c5dd23d871907e	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	133.0	76.0	0.0	0.0	0.0	154.0	0.0
5f70c15fbc98692570d7607ab7acef0a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	100.0	0.0	146.0	0.0	0.0	199.0	0.0
