	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
c3e23ec97988467824ad28f5ed4e9435	0.0	0.0	0.0	0.0	0.0	0.0	2246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0881265140b7a9b08dddafe49d836826	70.0	145.0	0.0	0.0	0.0	0.0	506.0	0.0	0.0	0.0	0.0	133.0	0.0	13.0	0.0	0.0	432.0	0.0	0.0	0.0	0.0	0.0	0.0	519.0	0.0	0.0	293.0	126.0	0.0	0.0	0.0
09cf87f66448fa392ad474d3748010b2	158.0	0.0	0.0	415.0	0.0	329.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	424.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	313.0	0.0
6dd4b92844c39b53eb81044fcaa78306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	55.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	154.0	231.0	0.0	0.0	0.0	0.0	208.0	0.0	365.0	0.0	0.0	260.0	343.0	0.0
be71a6d2f0dc8b249ea0f3c5e195b473	0.0	0.0	0.0	568.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	271.0	0.0	0.0	352.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	474.0	0.0	0.0	0.0
91eed8d1be19e32da4e29167711c06d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f3ce9b010b023d1739249c6277ffbef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	477.0	0.0	0.0	619.0	0.0	586.0	0.0
9907a2b7b14f865e4201c94010d1cda1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1437.0	0.0	0.0	0.0	0.0	463.0
aad36d6df7fc472fd6bf00b9a264c7c2	0.0	0.0	0.0	0.0	383.0	0.0	298.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0	87.0	190.0	59.0	130.0	0.0	0.0	0.0	139.0	153.0
7fb3a02416e867ef0cbb0b1bd7b34baf	153.0	0.0	0.0	0.0	0.0	65.0	67.0	74.0	0.0	45.0	132.0	69.0	93.0	49.0	0.0	142.0	117.0	51.0	69.0	0.0	65.0	41.0	259.0	179.0	0.0	148.0	75.0	0.0	0.0	53.0	69.0
8fc4ea08ee4d6e46d77654e10fcf8192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	735.0	0.0	0.0	0.0	1028.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
434c7ca31a1e6fe14efcd2c79524b80b	0.0	217.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	665.0	0.0	0.0	0.0	444.0	0.0	385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dbb0d7af7d01d7b52fe139ed9c9dbf6e	375.0	255.0	0.0	0.0	221.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	272.0	167.0	239.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	0.0
07891b53d6f7f241be78726322618990	0.0	0.0	0.0	1968.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
