Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T1-R-H2O-A_NODE_4014_length_1278_cov_9.384424	0	0	0	0	0	0	0	0	0	1559.6476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_4138_length_1267_cov_2.036789	0	0	0	0	0	0	0	0	0	87.88762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_4327_length_1251_cov_4.083898	0	0	0	0	0	374.17822	0	0	0	720.9946	0	0	0	0	0	0	196.78108	0	0	0	0	208.49529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tolucaviricetes	Tolivirales	NA	Kitrinoviricota
T1-R-H2O-A_NODE_4584_length_1232_cov_2.186908	0	0	0	0	0	0	0	0	0	361.5377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_4606_length_1229_cov_56.715889	0	0	0	0	0	0	0	0	0	2546.002	0	1359.3772	0	0	0	0	0	0	0	0	0	0	0	0	150.96349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T1-R-H2O-A_NODE_4820_length_1214_cov_2.476815	0	0	276.65286	243.21536	162.08643	293.77704	274.97943	0	161.45662	412.7605	311.1129	375.32	166.48972	202.81258	194.57501	135.05362	147.4753	911.3517	169.235	0	0	204.10728	259.00778	382.06827	109.84568	0	115.81735	0	0	153.53047	85.13641	0	0	213.091	365.98605	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H2O-A_NODE_4999_length_1201_cov_4.443363	0	0	0	0	0	0	0	0	0	194.70656	792.0249	0	0	0	0	0	93.169754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_5076_length_1194_cov_11.053428	0	0	0	0	0	0	0	0	0	1837.2415	937.2568	0	125.391464	0	0	0	0	0	0	0	0	0	271.32645	0	0	0	0	0	0	0	0	0	0	338.53183	0	212.50404	0	0	0	Lenarviricota	Lenarviricota	NA	Lenarviricota
T1-R-H2O-A_NODE_5264_length_1183_cov_3.698741	0	0	0	0	0	310.89642	0	0	0	0	0	0	0	0	0	0	122.9636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.6763	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_5554_length_1163_cov_6.884615	0	0	0	0	0	0	0	0	0	1101.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alsuviricetes	Martellivirales	NA	Kitrinoviricota
T1-R-H2O-A_NODE_5721_length_1154_cov_3.519852	0	0	0	0	0	0	0	71.457085	0	0	206.0706	0	0	0	0	0	0	0	0	0	0	146.91328	99.081604	117.23051	130.62953	46.40871	0	0	0	0	0	0	0	84.06385	150.65794	87.94795	0	26.04785	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T1-R-H2O-A_NODE_5737_length_1153_cov_2.215342	0	0	0	0	0	0	0	0	0	144.86594	0	0	0	0	0	0	0	0	0	0	0	0	0	83.8087	0	0	0	0	0	0	0	0	71.72199	91.14815	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_5931_length_1142_cov_6.264239	140.23972	0	0	0	0	0	0	0	0	175.51357	367.47525	110.82859	0	0	0	0	0	0	0	0	0	0	292.02463	101.539154	0	0	0	0	0	0	0	0	0	169.89436	270.6508	133.30814	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_6333_length_1121_cov_18.617143	0	0	0	0	0	0	0	0	0	1271.4775	0	0	0	0	0	0	0	0	162.91115	0	0	0	0	0	206.88464	0	0	0	0	140.01482	0	0	0	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_6656_length_1106_cov_2.113043	0	0	0	0	0	0	0	0	0	302.04416	1644.2246	114.436035	0	899.74384	0	0	0	0	0	0	0	353.7445	327.3754	0	62.907146	96.845665	154.76309	0	0	124.17454	0	0	0	146.18697	0	244.70628	0	0	195.78415	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_6786_length_1100_cov_2.514091	0	0	0	0	0	70.92378	0	0	0	384.67615	0	0	0	0	0	0	61.03466	459.16992	0	0	0	142.2696	77.9592	0	0	0	0	0	0	0	0	0	0	0	87.807724	0	78.09815	22.772133	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_6860_length_1096_cov_6.357073	127.85998	0	0	0	0	223.71684	0	94.04822	0	1391.9202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_6979_length_1092_cov_1.687561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.66644	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_7324_length_1076_cov_8.400995	0	0	0	0	0	258.949	0	0	0	1510.9319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_8032_length_1049_cov_2.058282	104.96255	0	0	0	0	0	0	0	0	212.3043	0	156.85046	85.63436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.74987	168.74075	0	87.58023	0	0	323.67386	267.02252	129.00151	0	0	0	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T1-R-H2O-A_NODE_8059_length_1048_cov_1.942682	0	0	0	0	0	0	0	0	0	318.76038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T1-R-H2O-A_NODE_8935_length_1019_cov_2.339662	0	0	0	0	0	0	0	0	0	152.98828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.70859	48.134388	0	0	0	0	0	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
