asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
1ab06a780ca06eca7df927d92a7f1a56	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
ce759d591bab474a12420f60d124955b	0.0	0.0	117.0	5.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8bbcc1cb1501b1637817678c53879796	0.0	0.0	0.0	0.0	0.0	66.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0
ee1627b890a3bbb01423442d47fcca78	0.0	0.0	0.0	17.0	23.0	26.0	17.0	0.0	13.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5966f868f112e838a22b102e0011f9d5	0.0	0.0	15.0	0.0	0.0	0.0	7.0	0.0	19.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	36.0	0.0	0.0	7.0	0.0	8.0	0.0	0.0
9a079183cd5254bfdfa69c54d0cf3a46	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144fbfa8dc61153770e5864a2bbf5f0d	26.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	5.0	9.0	0.0	5.0	9.0	0.0	4.0	0.0	3.0	11.0	0.0	0.0	9.0	0.0	12.0	5.0	0.0	16.0	0.0	0.0	0.0
dbebf15487b26932e86f5ab71fd9f206	17.0	0.0	0.0	0.0	5.0	0.0	11.0	10.0	10.0	5.0	0.0	6.0	0.0	0.0	8.0	5.0	0.0	0.0	7.0	0.0	0.0	21.0	0.0	4.0	6.0	0.0	6.0	0.0	0.0	0.0
26f379a48dd1d6896e3da89a31f91b1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	21.0	0.0	0.0	29.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0
5a92953a8ef61829d245f89125bec86d	5.0	0.0	6.0	0.0	12.0	83.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
f550d4717a18e8f97c71c9db7ddd9ef9	0.0	0.0	0.0	17.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	19.0
5100817742975d3dd3ebe3f9aad6ec09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
e5e9a6767e9ec7777c100e9065d74dfc	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0
6424644bd33b834a71f4a409ee489f79	67.0	32.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
5de4fc7dc247945918aa2a7be8c27919	22.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	28.0	0.0	4.0	0.0	0.0	12.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	12.0	5.0	2.0	2.0	0.0	0.0	0.0
6119e409f23c44a82400a646164c08c8	8.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	30.0	16.0	0.0	7.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
ea9bb6da3e71d24b40e9a2a01767a60d	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	24.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	8.0
a1b594e673458bc033515038fe498bd4	0.0	0.0	0.0	0.0	0.0	0.0	17.0	16.0	6.0	0.0	8.0	0.0	10.0	17.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0
10f9b26edd4fbe73386445b4902725ae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	39.0	11.0	0.0	0.0	5.0	10.0	0.0	7.0	11.0
9dfe7afeb6b0f78c536effe04fb09809	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f294b4143557e2bf62030b040426904d	24.0	0.0	7.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0
