asv	superkingdom	phylum	class	order	family	genus	species
c8db9c86af7e00a1784d7113affa8fe2	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia tsunedae
c8f62794e6768237fb110d905020362a	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Septoriella	Septoriella chlamydospora
c8fed8534cd3feccef80078ea197d901	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
c92cf9e4778768e08b563bc2f5070ab0	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
c9b2c71d9ae24d516709bdc6dfc4e681	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor hiemalis
c9ebc8df944909c53d3c8fe0af6f5561	Eukaryota	Mucoromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus occultum
ca0aacf7a6cad6b8c327121fe11c49e2	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina	Dactylellina appendiculata
cb75b4902630525448faa0be972e5680	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria apulica
cbbc41d631dd2c53e9d48c7bb349edc3	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	NA	Polytolypa	Polytolypa hystricis
cbdc8ef8a7449becb467835bad12a485	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	NA	Chaetospermum	Chaetospermum chaetosporum
cbe13cdd5df6cafbb9fc828614ae9832	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Hodophilus	Hodophilus stramineus
cc71dd941f481e551f31f28c49d2a1e4	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces coprophilus
cca9051402a74285640a730a7567c895	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia uzbekistanensis
ccb06582b1e8b9239909c55e39e2571d	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sarnyensis
cd2635f50aa4677141871fcf79130b8a	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
cd5e9aa90fdd4d287c554a29bf4641c7	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Hyalorbilia	Hyalorbilia oviparasitica
cd6b3e3dbc6fd32ab0b04be04b5484a2	Eukaryota	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Ruineniaceae	Ruinenia	Ruinenia diospyri
cdcfeea3d0079de163fcc4438f809d11	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus fluvialis
ce058a5e5227602c5431f7ba72b98cab	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
ce09ce01a9d0d33ac3dd607da91d7515	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
ce759d591bab474a12420f60d124955b	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia halimi
ced12976e27a44c3a3b6bbb6e9d7237f	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium beticola
cf26b6f15d5d1a2784cb72f1a83734cc	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	Dothiora viticola
cf6193184d4b50f363fcc969485d237d	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	Paramyrothecium breviseta
cfc24bb6458d444e84e6fcbbb20e4f85	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum
